1737977156926|2|statement|connection 0|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select * from INFORMATION_SCHEMA.SEQUENCES|select * from INFORMATION_SCHEMA.SEQUENCES
1737977199183|5|statement|connection 0|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select * from INFORMATION_SCHEMA.SEQUENCES|select * from INFORMATION_SCHEMA.SEQUENCES
1737977757711|3|statement|connection 0|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select * from INFORMATION_SCHEMA.SEQUENCES|select * from INFORMATION_SCHEMA.SEQUENCES
1737977907715|2|statement|connection 0|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select * from INFORMATION_SCHEMA.SEQUENCES|select * from INFORMATION_SCHEMA.SEQUENCES
1737978009020|3|statement|connection 0|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select * from INFORMATION_SCHEMA.SEQUENCES|select * from INFORMATION_SCHEMA.SEQUENCES
1737978009299|0|statement|connection 0|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select * from INFORMATION_SCHEMA.SEQUENCES|select * from INFORMATION_SCHEMA.SEQUENCES
1737978009317|1|statement|connection 0|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|create table pokemon (id bigint not null, name varchar(255), score integer not null, version bigint, primary key (id))|create table pokemon (id bigint not null, name varchar(255), score integer not null, version bigint, primary key (id))
1737978009317|0|statement|connection 0|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|create sequence hibernate_sequence start with 1 increment by 1|create sequence hibernate_sequence start with 1 increment by 1
1737978009924|0|statement|connection 6|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar31'
1737978009924|0|statement|connection 3|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar63'
1737978009924|0|statement|connection 8|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar37'
1737978009924|0|statement|connection 1|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar45'
